,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
976,2019-09-14,571194.9151099942,265497.1002057587,879715.8664858398,571194.9151099942,571194.9151099942,-16450.466108338143,-16450.466108338143,-16450.466108338143,-19182.605729960556,-19182.605729960556,-19182.605729960556,2732.139621622412,2732.139621622412,2732.139621622412,0.0,0.0,0.0,554744.4490016561
977,2019-09-14,571194.9151099942,231905.24698203272,867316.3578072252,571194.9151099942,571194.9151099942,-16450.466108338143,-16450.466108338143,-16450.466108338143,-19182.605729960556,-19182.605729960556,-19182.605729960556,2732.139621622412,2732.139621622412,2732.139621622412,0.0,0.0,0.0,554744.4490016561
978,2019-09-14,571194.9151099942,245398.89321075246,877265.6575174725,571194.9151099942,571194.9151099942,-16450.466108338143,-16450.466108338143,-16450.466108338143,-19182.605729960556,-19182.605729960556,-19182.605729960556,2732.139621622412,2732.139621622412,2732.139621622412,0.0,0.0,0.0,554744.4490016561
979,2019-09-14,571194.9151099942,245841.22465704646,888508.4932000111,571194.9151099942,571194.9151099942,-16450.466108338143,-16450.466108338143,-16450.466108338143,-19182.605729960556,-19182.605729960556,-19182.605729960556,2732.139621622412,2732.139621622412,2732.139621622412,0.0,0.0,0.0,554744.4490016561
980,2019-09-21,571596.5668028179,227461.71554723923,861943.3833155119,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
981,2019-09-21,571596.5668028179,258318.56717590487,866142.4197907608,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
982,2019-09-21,571596.5668028179,204736.95918706045,877105.9955309823,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
983,2019-09-21,571596.5668028179,246066.4414633795,884889.926301457,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
984,2019-09-21,571596.5668028179,238243.24386621974,879441.4371583769,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
985,2019-09-21,571596.5668028179,214363.1315802719,869414.3111666753,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
986,2019-09-21,571596.5668028179,236670.83004942763,879049.9754972727,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
987,2019-09-21,571596.5668028179,214365.38530693683,868218.7409936727,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
988,2019-09-21,571596.5668028179,252041.01803095354,859939.5365061528,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
989,2019-09-21,571596.5668028179,242534.0631018315,869225.4466202217,571596.5668028179,571596.5668028179,-19169.475263053442,-19169.475263053442,-19169.475263053442,-19182.605729960556,-19182.605729960556,-19182.605729960556,13.130466907113561,13.130466907113561,13.130466907113561,0.0,0.0,0.0,552427.0915397644
990,2019-09-28,571998.2184956414,208592.2747380669,908561.2254844675,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
991,2019-09-28,571998.2184956414,229088.8102182664,870412.2003829116,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
992,2019-09-28,571998.2184956414,248848.06917235395,885397.48596805,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
993,2019-09-28,571998.2184956414,220461.20747553778,888868.8511024695,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
994,2019-09-28,571998.2184956414,219893.71522053346,864843.6508474931,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
995,2019-09-28,571998.2184956414,242191.91327104048,875580.311307174,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
996,2019-09-28,571998.2184956414,214454.7700307888,862916.6793998587,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
997,2019-09-28,571998.2184956414,240673.40596727253,873777.876151344,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
998,2019-09-28,571998.2184956414,225247.467801991,864874.6485845929,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
999,2019-09-28,571998.2184956414,218883.98238280287,879798.7338574096,571998.2184956414,571998.2184956414,-21167.01942605566,-21167.01942605566,-21167.01942605566,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1984.4136960951016,-1984.4136960951016,-1984.4136960951016,0.0,0.0,0.0,550831.1990695857
1000,2019-10-05,572399.8701884649,205404.5489570319,851504.5108980895,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1001,2019-10-05,572399.8701884649,237926.4218500739,888981.3309010695,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1002,2019-10-05,572399.8701884649,239877.33279280254,841415.7770138896,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1003,2019-10-05,572399.8701884649,228352.31633569027,876472.2681733286,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1004,2019-10-05,572399.8701884649,213840.70867536066,856033.3190201453,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1005,2019-10-05,572399.8701884649,239537.25884662068,862432.201873012,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1006,2019-10-05,572399.8701884649,252522.5258186197,868440.0411533441,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1007,2019-10-05,572399.8701884649,217609.8375211658,852776.5689255076,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1008,2019-10-05,572399.8701884649,233089.2862107903,854462.4192736065,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1009,2019-10-05,572399.8701884649,219063.82370183602,880228.4173002178,572399.8701884649,572399.8701884649,-21457.832986121397,-21457.832986121397,-21457.832986121397,-19182.605729960556,-19182.605729960556,-19182.605729960556,-2275.2272561608434,-2275.2272561608434,-2275.2272561608434,0.0,0.0,0.0,550942.0372023435
1010,2019-10-12,572910.9823874903,219285.15948063185,894220.9669771574,572910.9823874903,572910.9823874903,-20601.605664168557,-20601.605664168557,-20601.605664168557,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1418.9999342080023,-1418.9999342080023,-1418.9999342080023,0.0,0.0,0.0,552309.3767233217
1011,2019-10-12,572910.9823874903,247209.15842294582,909034.9080822999,572910.9823874903,572910.9823874903,-20601.605664168557,-20601.605664168557,-20601.605664168557,-19182.605729960556,-19182.605729960556,-19182.605729960556,-1418.9999342080023,-1418.9999342080023,-1418.9999342080023,0.0,0.0,0.0,552309.3767233217
