region_date,state,date,income
southdakota2015,South Dakota,2015,55065.0
tennessee2015,Tennessee,2015,47330.0
texas2015,Texas,2015,56473.0
utah2015,Utah,2015,66258.0
vermont2015,Vermont,2015,59494.0
virginia2015,Virginia,2015,61486.0
washington2015,Washington,2015,67243.0
westvirginia2015,West Virginia,2015,42824.0
wisconsin2015,Wisconsin,2015,55425.0
wyoming2015,Wyoming,2015,60925.0
unitedstates2014,United States,2014,53657.0
alabama2014,Alabama,2014,42278.0
alaska2014,Alaska,2014,67629.0
arizona2014,Arizona,2014,49254.0
arkansas2014,Arkansas,2014,44922.0
california2014,California,2014,60487.0
colorado2014,Colorado,2014,60940.0
connecticut2014,Connecticut,2014,70161.0
delaware2014,Delaware,2014,57522.0
districtofcolumbia2014,District of Columbia,2014,68277.0
florida2014,Florida,2014,46140.0
georgia2014,Georgia,2014,49555.0
hawaii2014,Hawaii,2014,71223.0
idaho2014,Idaho,2014,53438.0
illinois2014,Illinois,2014,54916.0
indiana2014,Indiana,2014,48060.0
iowa2014,Iowa,2014,57810.0
kansas2014,Kansas,2014,53444.0
kentucky2014,Kentucky,2014,42786.0
louisiana2014,Louisiana,2014,42406.0
maine2014,Maine,2014,51710.0
maryland2014,Maryland,2014,76165.0
massachusetts2014,Massachusetts,2014,63151.0
michigan2014,Michigan,2014,52005.0
minnesota2014,Minnesota,2014,67244.0
mississippi2014,Mississippi,2014,35521.0
missouri2014,Missouri,2014,56630.0
montana2014,Montana,2014,51102.0
nebraska2014,Nebraska,2014,56870.0
nevada2014,Nevada,2014,49875.0
newhampshire2014,New Hampshire,2014,73397.0
newjersey2014,New Jersey,2014,65243.0
newmexico2014,New Mexico,2014,46686.0
newyork2014,New York,2014,54310.0
northcarolina2014,North Carolina,2014,46784.0
northdakota2014,North Dakota,2014,60730.0
ohio2014,Ohio,2014,49644.0
oklahoma2014,Oklahoma,2014,47199.0
oregon2014,Oregon,2014,58875.0
pennsylvania2014,Pennsylvania,2014,55173.0
rhodeisland2014,Rhode Island,2014,58633.0
southcarolina2014,South Carolina,2014,44929.0
southdakota2014,South Dakota,2014,53053.0
tennessee2014,Tennessee,2014,43716.0
texas2014,Texas,2014,53875.0
utah2014,Utah,2014,63383.0
vermont2014,Vermont,2014,60708.0
virginia2014,Virginia,2014,66155.0
washington2014,Washington,2014,59068.0
westvirginia2014,West Virginia,2014,39552.0
wisconsin2014,Wisconsin,2014,58080.0
wyoming2014,Wyoming,2014,55690.0
unitedstates2013,United States,2013,53585.0
alabama2013,Alabama,2013,47320.0
alaska2013,Alaska,2013,72472.0
arizona2013,Arizona,2013,52611.0
arkansas2013,Arkansas,2013,39376.0
california2013,California,2013,60794.0
colorado2013,Colorado,2013,67912.0
connecticut2013,Connecticut,2013,69291.0
delaware2013,Delaware,2013,54091.0
districtofcolumbia2013,District of Columbia,2013,60057.0
florida2013,Florida,2013,48532.0
georgia2013,Georgia,2013,46992.0
hawaii2013,Hawaii,2013,64235.0
idaho2013,Idaho,2013,48467.0
illinois2013,Illinois,2013,53937.0
indiana2013,Indiana,2013,49455.0
iowa2013,Iowa,2013,60156.0
kansas2013,Kansas,2013,47820.0
kentucky2013,Kentucky,2013,44879.0
louisiana2013,Louisiana,2013,46425.0
maine2013,Maine,2013,54957.0
maryland2013,Maryland,2013,69353.0
massachusetts2013,Massachusetts,2013,62529.0
michigan2013,Michigan,2013,56567.0
minnesota2013,Minnesota,2013,64324.0
mississippi2013,Mississippi,2013,32338.0
missouri2013,Missouri,2013,46303.0
montana2013,Montana,2013,43201.0
nebraska2013,Nebraska,2013,57623.0
nevada2013,Nevada,2013,51846.0
newhampshire2013,New Hampshire,2013,69099.0
newjersey2013,New Jersey,2013,63754.0
newmexico2013,New Mexico,2013,40166.0
newyork2013,New York,2013,49966.0
northcarolina2013,North Carolina,2013,46337.0
northdakota2013,North Dakota,2013,59152.0
ohio2013,Ohio,2013,50748.0
oklahoma2013,Oklahoma,2013,46162.0
oregon2013,Oregon,2013,48999.0
pennsylvania2013,Pennsylvania,2013,55156.0
rhodeisland2013,Rhode Island,2013,56323.0
southcarolina2013,South Carolina,2013,43563.0
southdakota2013,South Dakota,2013,53413.0
tennessee2013,Tennessee,2013,43361.0
texas2013,Texas,2013,51406.0
utah2013,Utah,2013,61047.0
vermont2013,Vermont,2013,65513.0
virginia2013,Virginia,2013,65907.0
washington2013,Washington,2013,63922.0
westvirginia2013,West Virginia,2013,43069.0
wisconsin2013,Wisconsin,2013,51726.0
wyoming2013,Wyoming,2013,67441.0
unitedstates2012,United States,2012,51017.0
alabama2012,Alabama,2012,43464.0
alaska2012,Alaska,2012,63648.0
arizona2012,Arizona,2012,47044.0
arkansas2012,Arkansas,2012,39018.0
california2012,California,2012,57020.0
colorado2012,Colorado,2012,57255.0
connecticut2012,Connecticut,2012,64247.0
delaware2012,Delaware,2012,48972.0
districtofcolumbia2012,District of Columbia,2012,65246.0
florida2012,Florida,2012,46071.0
georgia2012,Georgia,2012,48121.0
hawaii2012,Hawaii,2012,56263.0
idaho2012,Idaho,2012,47922.0
illinois2012,Illinois,2012,51738.0
indiana2012,Indiana,2012,46158.0
iowa2012,Iowa,2012,53442.0
kansas2012,Kansas,2012,50003.0
kentucky2012,Kentucky,2012,41086.0
louisiana2012,Louisiana,2012,39085.0
maine2012,Maine,2012,49158.0
maryland2012,Maryland,2012,71836.0
massachusetts2012,Massachusetts,2012,63656.0
michigan2012,Michigan,2012,50015.0
minnesota2012,Minnesota,2012,61795.0
mississippi2012,Mississippi,2012,36641.0
missouri2012,Missouri,2012,49764.0
montana2012,Montana,2012,45088.0
nebraska2012,Nebraska,2012,52196.0
nevada2012,Nevada,2012,47333.0
newhampshire2012,New Hampshire,2012,67819.0
newjersey2012,New Jersey,2012,66692.0
newmexico2012,New Mexico,2012,43424.0
newyork2012,New York,2012,47680.0
northcarolina2012,North Carolina,2012,41553.0
northdakota2012,North Dakota,2012,55766.0
ohio2012,Ohio,2012,44375.0
oklahoma2012,Oklahoma,2012,48407.0
oregon2012,Oregon,2012,51775.0
pennsylvania2012,Pennsylvania,2012,51904.0
rhodeisland2012,Rhode Island,2012,56065.0
southcarolina2012,South Carolina,2012,44401.0
southdakota2012,South Dakota,2012,49415.0
tennessee2012,Tennessee,2012,42995.0
texas2012,Texas,2012,51926.0
utah2012,Utah,2012,58341.0
vermont2012,Vermont,2012,55582.0
virginia2012,Virginia,2012,64632.0
washington2012,Washington,2012,62187.0
westvirginia2012,West Virginia,2012,43553.0
wisconsin2012,Wisconsin,2012,53079.0
wyoming2012,Wyoming,2012,57512.0
unitedstates2011,United States,2011,50054.0
alabama2011,Alabama,2011,42590.0
alaska2011,Alaska,2011,57431.0
arizona2011,Arizona,2011,48621.0
arkansas2011,Arkansas,2011,41302.0
california2011,California,2011,53367.0
colorado2011,Colorado,2011,58629.0
connecticut2011,Connecticut,2011,65415.0
delaware2011,Delaware,2011,54660.0
districtofcolumbia2011,District of Columbia,2011,55251.0
florida2011,Florida,2011,45105.0
georgia2011,Georgia,2011,45973.0
hawaii2011,Hawaii,2011,59047.0
idaho2011,Idaho,2011,47459.0
illinois2011,Illinois,2011,50637.0
indiana2011,Indiana,2011,44445.0
iowa2011,Iowa,2011,50219.0
kansas2011,Kansas,2011,46147.0
kentucky2011,Kentucky,2011,39856.0
louisiana2011,Louisiana,2011,40658.0
maine2011,Maine,2011,49693.0
maryland2011,Maryland,2011,68876.0
massachusetts2011,Massachusetts,2011,63313.0
michigan2011,Michigan,2011,48879.0
minnesota2011,Minnesota,2011,57820.0
mississippi2011,Mississippi,2011,41090.0
missouri2011,Missouri,2011,45774.0
montana2011,Montana,2011,40277.0
nebraska2011,Nebraska,2011,55616.0
nevada2011,Nevada,2011,47043.0
newhampshire2011,New Hampshire,2011,65880.0
newjersey2011,New Jersey,2011,62338.0
newmexico2011,New Mexico,2011,41982.0
newyork2011,New York,2011,50636.0
northcarolina2011,North Carolina,2011,45206.0
northdakota2011,North Dakota,2011,56361.0
ohio2011,Ohio,2011,44648.0
oklahoma2011,Oklahoma,2011,48455.0
oregon2011,Oregon,2011,51526.0
pennsylvania2011,Pennsylvania,2011,49910.0
rhodeisland2011,Rhode Island,2011,49033.0
