region_date,date,size_rank,region_name,latitude,longitude,list_price,sale_price,list_divided_by_sale,list_minus_sale
sanfrancisco20201024,2020-10-24,11,"San Francisco, CA",37.7790262,-122.419906,1022056.0,901250.0,88.18009972056325,120806.0
riverside20201024,2020-10-24,13,"Riverside, CA",33.9533546,-117.3961623,483279.0,428341.0,88.63223934828535,54938.0
sacramento20201024,2020-10-24,25,"Sacramento, CA",38.5810606,-121.493895,582649.0,476250.0,81.73874837166115,106399.0
stockton20201024,2020-10-24,77,"Stockton, CA",37.9577016,-121.2907796,502082.0,426625.0,84.97118000645312,75457.0
ventura20201024,2020-10-24,66,"Ventura, CA",34.4458248,-119.0779359,857349.0,682750.0,79.63501444569248,174599.0
bakersfield20201024,2020-10-24,63,"Bakersfield, CA",35.3738712,-119.0194639,307551.0,275813.0,89.68041072862712,31738.0
sanjose20201024,2020-10-24,34,"San Jose, CA",37.3361905,-121.890583,1276280.0,1159500.0,90.84997022596924,116780.0
fresno20201024,2020-10-24,56,"Fresno, CA",36.7394421,-119.7848307,393042.0,319375.0,81.2572193302497,73667.0
bakersfield20201031,2020-10-31,63,"Bakersfield, CA",35.3738712,-119.0194639,307423.0,276125.0,89.81923928918786,31298.0
ventura20201031,2020-10-31,66,"Ventura, CA",34.4458248,-119.0779359,853664.0,685000.0,80.24234359185816,168664.0
fresno20201031,2020-10-31,56,"Fresno, CA",36.7394421,-119.7848307,391484.0,318375.0,81.325162714185,73109.0
stockton20201031,2020-10-31,77,"Stockton, CA",37.9577016,-121.2907796,496926.0,429125.0,86.35591617262932,67801.0
sandiego20201031,2020-10-31,17,"San Diego, CA",32.7174202,-117.1627728,842318.0,655000.0,77.76160547441702,187318.0
riverside20201031,2020-10-31,13,"Riverside, CA",33.9533546,-117.3961623,484301.0,428091.0,88.39358167751047,56210.0
losangeles-longbeach-anaheim20201031,2020-10-31,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,974950.0,743750.0,76.28596338273758,231200.0
sanfrancisco20201031,2020-10-31,11,"San Francisco, CA",37.7790262,-122.419906,1021813.0,895625.0,87.6505779433223,126188.0
sacramento20201031,2020-10-31,25,"Sacramento, CA",38.5810606,-121.493895,582725.0,474750.0,81.4706765627011,107975.0
sanjose20201031,2020-10-31,34,"San Jose, CA",37.3361905,-121.890583,1276874.0,1177750.0,92.23697874653254,99124.0
bakersfield20201107,2020-11-07,63,"Bakersfield, CA",35.3738712,-119.0194639,307942.0,278875.0,90.56088484195077,29067.0
ventura20201107,2020-11-07,66,"Ventura, CA",34.4458248,-119.0779359,852190.0,674875.0,79.1930203358406,177315.0
fresno20201107,2020-11-07,56,"Fresno, CA",36.7394421,-119.7848307,391744.0,308825.0,78.83337077274956,82919.0
stockton20201107,2020-11-07,77,"Stockton, CA",37.9577016,-121.2907796,494156.0,433750.0,87.77592501153481,60406.0
sandiego20201107,2020-11-07,17,"San Diego, CA",32.7174202,-117.1627728,838396.0,655000.0,78.12537273555694,183396.0
riverside20201107,2020-11-07,13,"Riverside, CA",33.9533546,-117.3961623,486794.0,428750.0,88.07627045526445,58044.0
