,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1407,2020-07-11,559385.3290211824,577304.6605562449,584072.527167036,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1408,2020-07-11,559385.3290211824,577410.8950593206,583962.3016814647,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1409,2020-07-11,559385.3290211824,577357.4420644311,584342.5297226609,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1410,2020-07-18,562791.6892009394,579394.8939970577,586285.6196383163,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1411,2020-07-18,562791.6892009394,579402.2579516572,586445.7105545802,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1412,2020-07-18,562791.6892009394,579562.467840839,586532.6105351822,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1413,2020-07-18,562791.6892009394,579910.5486844808,586738.5895268378,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1414,2020-07-18,562791.6892009394,579316.8967366782,586197.2242976046,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1415,2020-07-18,562791.6892009394,579792.6023937262,586509.7303601496,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1416,2020-07-18,562791.6892009394,579483.414619694,586397.5325801226,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1417,2020-07-18,562791.6892009394,579495.9507659188,586475.7416199677,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1418,2020-07-18,562791.6892009394,579664.5481412902,586474.142279059,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1419,2020-07-18,562791.6892009394,579808.3713272811,586546.3509891991,562791.6892009394,562791.6892009394,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,20201.586299488514,0.0,0.0,0.0,582993.2755004279
1420,2020-07-25,566198.0493806964,581926.942610886,588845.6735480491,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1421,2020-07-25,566198.0493806964,581699.0542283782,588722.6218403529,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1422,2020-07-25,566198.0493806964,581737.7136136416,588746.1800464801,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1423,2020-07-25,566198.0493806964,581560.8596402096,588721.5548924971,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1424,2020-07-25,566198.0493806964,581916.2044312371,588740.9947099895,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1425,2020-07-25,566198.0493806964,581833.558795766,588726.8374428304,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1426,2020-07-25,566198.0493806964,581859.5582681358,588672.3285519248,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1427,2020-07-25,566198.0493806964,581866.0348264948,588688.0928086669,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1428,2020-07-25,566198.0493806964,581941.2714959971,588799.3559305742,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1429,2020-07-25,566198.0493806964,581826.8312066075,588601.3627421975,566198.0493806964,566198.0493806964,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,19067.213205145923,0.0,0.0,0.0,585265.2625858423
1430,2020-08-01,569604.4095604535,583542.5677591811,590361.9584730284,569604.4095604535,569604.4095604535,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,0.0,0.0,0.0,587159.3189327712
1431,2020-08-01,569604.4095604535,583635.3737535359,590186.4826142964,569604.4095604535,569604.4095604535,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,17554.909372317685,0.0,0.0,0.0,587159.3189327712
