,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
377,2018-07-21,549523.4835600732,206228.50524274266,819787.8906411808,549523.4835600732,549523.4835600732,-12743.19546063281,-12743.19546063281,-12743.19546063281,-19182.605729960556,-19182.605729960556,-19182.605729960556,6439.4102693277455,6439.4102693277455,6439.4102693277455,0.0,0.0,0.0,536780.2880994404
378,2018-07-21,549523.4835600732,224232.47323458758,852548.7202162278,549523.4835600732,549523.4835600732,-12743.19546063281,-12743.19546063281,-12743.19546063281,-19182.605729960556,-19182.605729960556,-19182.605729960556,6439.4102693277455,6439.4102693277455,6439.4102693277455,0.0,0.0,0.0,536780.2880994404
379,2018-07-21,549523.4835600732,238123.25331085513,881334.8891484815,549523.4835600732,549523.4835600732,-12743.19546063281,-12743.19546063281,-12743.19546063281,-19182.605729960556,-19182.605729960556,-19182.605729960556,6439.4102693277455,6439.4102693277455,6439.4102693277455,0.0,0.0,0.0,536780.2880994404
380,2018-07-28,549876.694747806,221989.4503903957,852205.0918815953,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
381,2018-07-28,549876.694747806,225197.5218402135,867245.8707253486,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
382,2018-07-28,549876.694747806,216751.0378806024,864950.6874180745,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
383,2018-07-28,549876.694747806,214784.0654654215,872950.9437313621,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
384,2018-07-28,549876.694747806,236056.7808324543,863631.4318047739,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
385,2018-07-28,549876.694747806,224856.0510391138,838702.7894272816,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
386,2018-07-28,549876.694747806,213700.12011894202,865291.5702495265,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
387,2018-07-28,549876.694747806,216250.01582066834,865816.8852257796,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
388,2018-07-28,549876.694747806,243948.02580496226,849944.0550572242,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
389,2018-07-28,549876.694747806,235261.36651503723,844822.2968790339,549876.694747806,549876.694747806,-13283.548691579503,-13283.548691579503,-13283.548691579503,-19182.605729960556,-19182.605729960556,-19182.605729960556,5899.057038381052,5899.057038381052,5899.057038381052,0.0,0.0,0.0,536593.1460562265
390,2018-08-04,550229.9059355386,215855.69316698186,859042.7932964715,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
391,2018-08-04,550229.9059355386,227017.0543794619,861078.0759890568,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
392,2018-08-04,550229.9059355386,211927.66379411845,841349.1339999125,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
393,2018-08-04,550229.9059355386,240112.6390288132,865234.2353090971,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
394,2018-08-04,550229.9059355386,218419.3066665801,868869.9217276709,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
395,2018-08-04,550229.9059355386,238988.30049183348,877239.5519842532,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
396,2018-08-04,550229.9059355386,239313.52554122126,849577.6048156668,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
397,2018-08-04,550229.9059355386,215143.05345676432,859095.2386831567,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
398,2018-08-04,550229.9059355386,228763.48296338716,857316.4714503724,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
399,2018-08-04,550229.9059355386,211437.6246157751,848056.5882273907,550229.9059355386,550229.9059355386,-14241.89965193243,-14241.89965193243,-14241.89965193243,-19182.605729960556,-19182.605729960556,-19182.605729960556,4940.706078028125,4940.706078028125,4940.706078028125,0.0,0.0,0.0,535988.0062836062
400,2018-08-11,550583.1171232712,224394.87976607576,845528.8580066764,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
401,2018-08-11,550583.1171232712,234758.8505109383,862023.387947649,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
402,2018-08-11,550583.1171232712,201178.25669197697,867254.4438664896,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
403,2018-08-11,550583.1171232712,204917.02827568547,866591.6103912164,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
404,2018-08-11,550583.1171232712,211321.2843730159,847938.8240634501,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
405,2018-08-11,550583.1171232712,214557.687933533,869439.9425613079,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
406,2018-08-11,550583.1171232712,198195.3445962542,859989.6660225606,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
407,2018-08-11,550583.1171232712,197709.8086129987,867426.5420202366,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
408,2018-08-11,550583.1171232712,200537.85736152434,844572.0158642782,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
409,2018-08-11,550583.1171232712,221373.1455008422,848263.497223905,550583.1171232712,550583.1171232712,-15678.291389315887,-15678.291389315887,-15678.291389315887,-19182.605729960556,-19182.605729960556,-19182.605729960556,3504.3143406446693,3504.3143406446693,3504.3143406446693,0.0,0.0,0.0,534904.8257339554
